AccessCategoryID,CustomerID,AccessDate,CategoryVisited,Duration,DeviceType,BrowserType,IPAddress,ReferrerURL,SessionID,PagesViewed
63,2,2023-04-02,Help,60,Desktop,Chrome,192.168.9.117,http://example.com/referrer63,session_6945,16
64,2,2023-07-26,Home,107,Tablet,Firefox,192.168.21.242,http://example.com/referrer64,session_5866,3
65,37,2023-04-04,Profile,35,Mobile,Opera,192.168.224.236,http://example.com/referrer65,session_5109,2
66,99,2023-10-04,Help,27,Tablet,Safari,192.168.46.145,http://example.com/referrer66,session_3297,19
67,81,2023-11-17,About,37,Mobile,Safari,192.168.24.215,http://example.com/referrer67,session_9765,5
68,41,2023-03-10,Profile,92,Mobile,Opera,192.168.104.182,http://example.com/referrer68,session_8428,18
69,91,2023-04-10,Checkout,2,Tablet,Safari,192.168.139.115,http://example.com/referrer69,session_6355,6
70,38,2023-07-21,Help,32,Desktop,Edge,192.168.27.226,http://example.com/referrer70,session_2226,12
71,35,2023-11-17,Checkout,81,Tablet,Safari,192.168.83.107,http://example.com/referrer71,session_6834,18
72,22,2023-04-12,Product,92,Tablet,Chrome,192.168.242.39,http://example.com/referrer72,session_5600,16
73,87,2023-11-10,Home,87,Tablet,Edge,192.168.153.76,http://example.com/referrer73,session_1796,14
74,54,2023-10-30,Checkout,81,Tablet,Edge,192.168.16.43,http://example.com/referrer74,session_2640,12
75,23,2023-12-17,Home,37,Tablet,Firefox,192.168.242.83,http://example.com/referrer75,session_3589,8
76,55,2023-09-29,Help,105,Mobile,Chrome,192.168.86.4,http://example.com/referrer76,session_3780,11
77,77,2023-09-25,Profile,115,Desktop,Firefox,192.168.153.111,http://example.com/referrer77,session_8394,6
78,94,2023-12-20,Profile,45,Desktop,Edge,192.168.35.27,http://example.com/referrer78,session_3385,14
79,59,2023-06-02,Profile,86,Tablet,Firefox,192.168.194.111,http://example.com/referrer79,session_6462,2
80,15,2023-02-14,Product,107,Mobile,Safari,192.168.194.121,http://example.com/referrer80,session_7293,11
81,93,2023-02-26,About,52,Mobile,Edge,192.168.225.62,http://example.com/referrer81,session_8942,19
82,24,2023-11-01,Help,60,Tablet,Chrome,192.168.60.119,http://example.com/referrer82,session_8874,11
83,35,2023-01-17,About,25,Desktop,Edge,192.168.37.231,http://example.com/referrer83,session_1148,14
84,42,2023-10-10,Checkout,10,Desktop,Firefox,192.168.171.120,http://example.com/referrer84,session_3687,3
85,41,2023-06-09,About,76,Desktop,Chrome,192.168.59.87,http://example.com/referrer85,session_4076,14
86,35,2023-09-25,Product,74,Mobile,Safari,192.168.128.183,http://example.com/referrer86,session_3761,18
87,87,2023-02-03,Help,48,Desktop,Chrome,192.168.247.249,http://example.com/referrer87,session_4485,11
88,6,2023-12-13,Home,97,Mobile,Chrome,192.168.75.63,http://example.com/referrer88,session_8929,14
89,87,2023-08-22,Checkout,93,Tablet,Chrome,192.168.65.15,http://example.com/referrer89,session_6235,12
90,54,2023-11-08,Help,14,Mobile,Safari,192.168.39.145,http://example.com/referrer90,session_4185,6
91,80,2023-11-22,Checkout,42,Desktop,Safari,192.168.32.204,http://example.com/referrer91,session_5450,1
92,44,2023-04-20,Home,80,Desktop,Firefox,192.168.248.135,http://example.com/referrer92,session_5391,1
93,72,2023-05-17,Profile,50,Mobile,Opera,192.168.87.204,http://example.com/referrer93,session_4850,19
94,49,2023-04-02,Profile,66,Desktop,Safari,192.168.15.43,http://example.com/referrer94,session_3582,16
95,10,2023-07-16,Help,102,Desktop,Firefox,192.168.242.120,http://example.com/referrer95,session_7282,17
96,91,2023-12-30,Home,68,Mobile,Safari,192.168.52.99,http://example.com/referrer96,session_9770,5
97,15,2023-04-15,About,54,Desktop,Opera,192.168.23.234,http://example.com/referrer97,session_9954,1
98,77,2023-07-17,Profile,50,Mobile,Firefox,192.168.237.186,http://example.com/referrer98,session_6963,13
99,57,2023-07-19,Profile,39,Tablet,Opera,192.168.216.143,http://example.com/referrer99,session_5367,11
100,50,2023-04-25,Help,118,Tablet,Chrome,192.168.207.117,http://example.com/referrer100,session_1187,17
