MarketTrendID,ProductGroupID,TrendDescription,TrendStartDate,TrendEndDate,AnalysisBy,TrendType,TrendImpact,DataPointsCollected,MarketShareChange,RegionAffected
76,4,Trend description 76,2021-12-26,2022-10-06,Analyst 1,Decline,Low,316,-4.03,Global
77,7,Trend description 77,2021-10-19,2022-06-20,Analyst 16,Emerging,High,145,-1.91,Global
78,8,Trend description 78,2021-09-20,2022-02-06,Analyst 8,Decline,High,232,-4.28,Asia
79,7,Trend description 79,2021-11-08,2022-02-27,Analyst 19,Growth,High,435,1.81,Global
80,9,Trend description 80,2021-10-21,2022-04-11,Analyst 10,Growth,Low,483,5.99,Europe
81,6,Trend description 81,2021-06-08,2022-09-26,Analyst 12,Emerging,Low,253,8.06,North America
82,1,Trend description 82,2021-09-03,2022-11-15,Analyst 9,Decline,High,64,7.38,North America
83,5,Trend description 83,2021-01-29,2022-02-06,Analyst 16,Stable,Low,348,6.09,Asia
84,3,Trend description 84,2021-08-25,2022-11-09,Analyst 19,Decline,Low,443,0.26,Europe
85,3,Trend description 85,2021-01-08,2022-12-17,Analyst 2,Decline,Low,242,0.75,Asia
86,10,Trend description 86,2021-08-19,2022-09-30,Analyst 1,Decline,Low,62,-0.62,North America
87,1,Trend description 87,2021-07-02,2022-11-08,Analyst 12,Decline,High,340,8.32,Asia
88,8,Trend description 88,2021-01-25,2022-08-10,Analyst 10,Emerging,Low,163,4.07,Asia
89,1,Trend description 89,2021-12-25,2022-07-15,Analyst 10,Stable,High,402,0.13,Asia
90,2,Trend description 90,2021-03-23,2022-10-22,Analyst 5,Stable,Low,269,-1.45,Asia
91,8,Trend description 91,2021-08-19,2022-12-05,Analyst 17,Emerging,Medium,480,0.37,Europe
92,7,Trend description 92,2021-06-28,2022-05-09,Analyst 3,Stable,Low,137,-0.16,North America
93,5,Trend description 93,2021-10-25,2022-04-21,Analyst 17,Growth,Low,322,0.84,North America
94,7,Trend description 94,2021-07-23,2022-10-06,Analyst 15,Stable,High,400,-3.01,Europe
95,1,Trend description 95,2021-02-10,2022-04-13,Analyst 17,Emerging,High,116,3.75,Europe
96,10,Trend description 96,2021-03-10,2022-02-21,Analyst 8,Stable,High,414,9.05,Global
97,2,Trend description 97,2021-12-15,2022-11-13,Analyst 8,Growth,Medium,240,1.93,North America
98,10,Trend description 98,2021-10-27,2022-07-05,Analyst 8,Stable,Medium,147,5.04,Europe
99,5,Trend description 99,2021-02-07,2022-12-22,Analyst 11,Stable,Medium,315,2.38,Asia
100,3,Trend description 100,2021-03-26,2022-05-18,Analyst 14,Growth,Low,255,5.59,Europe
